scale,client_id,case_name,expected_result,slack_ppm,slack_abs,clip_bound_ok,clip_lhs_sum_sq,clip_rhs_bound_sq,clip_bound_excess,clip_bound_excess_ppm,relation_exact,tamper_delta,param_count,local_loss
1000,2,tampered_clip,fail,500,500,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
1000,2,tampered_clip,fail,1000,1000,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
1000,2,tampered_clip,fail,5000,5000,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
1000,2,tampered_clip,fail,20000,20000,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
10000,0,honest_clip,pass,0,0,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,100,10000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,500,50000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,1000,100000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,5000,500000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,20000,2000000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,tampered_clip,fail,0,0,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,100,10000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,500,50000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,1000,100000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,5000,500000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,20000,2000000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,1,honest_clip,pass,0,0,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,100,10000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,500,50000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,1000,100000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,5000,500000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,20000,2000000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,tampered_clip,fail,0,0,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,100,10000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,500,50000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,1000,100000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,5000,500000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,20000,2000000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,2,honest_clip,pass,0,0,False,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,100,10000,False,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,500,50000,True,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,1000,100000,True,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,5000,500000,True,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,20000,2000000,True,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,tampered_clip,fail,0,0,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,100,10000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,500,50000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,1000,100000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,5000,500000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,20000,2000000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
